Localidade da Escola,País,Região,UF,Município,Matrículas,Etapa de Ensino,Etapa de Ensino - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino - Superior - Ordenação
Norte,Brasil,Norte,,,742208,Propedêutico,301,Ensino Médio,3
Norte,Brasil,Norte,,,546606,Pré-escola,102,Educação Infantil,1
Norte,Brasil,Norte,,,790488,Total de Educação Infantil,100,Educação Infantil,1
Norte,Brasil,Norte,,,151587,Total de Educação Profissional,400,Educação Profissional,4
Norte,Brasil,Norte,,,275065,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Norte,Brasil,Norte,,,2822911,Total de Ensino Fundamental,200,Ensino Fundamental,2
Norte,Brasil,Norte,,,788015,Total de Ensino Médio,300,Ensino Médio,3
Norte,Brasil,Norte,,,145954,Técnica,401,Educação Profissional,4
Sudeste,Brasil,Sudeste,,,4478789,Anos Finais,202,Ensino Fundamental,2
Sudeste,Brasil,Sudeste,,,5623340,Anos Iniciais,201,Ensino Fundamental,2
Sudeste,Brasil,Sudeste,,,1918276,Creche,101,Educação Infantil,1
Sudeste,Brasil,Sudeste,,,366477,Curso Técnico Integrado,303,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,18583214,Educação Básica,0,Total Geral,0
Sudeste,Brasil,Sudeste,,,259845,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Sudeste,Brasil,Sudeste,,,321271,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Sudeste,Brasil,Sudeste,,,18312,Normal/Magistério,302,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,13503,Não Técnica,402,Educação Profissional,4
Sudeste,Brasil,Sudeste,,,2884304,Propedêutico,301,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,2074085,Pré-escola,102,Educação Infantil,1
Sudeste,Brasil,Sudeste,,,3992361,Total de Educação Infantil,100,Educação Infantil,1
Sudeste,Brasil,Sudeste,,,1030183,Total de Educação Profissional,400,Educação Profissional,4
Sudeste,Brasil,Sudeste,,,581116,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Sudeste,Brasil,Sudeste,,,10102129,Total de Ensino Fundamental,200,Ensino Fundamental,2
Sudeste,Brasil,Sudeste,,,3269093,Total de Ensino Médio,300,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,1016680,Técnica,401,Educação Profissional,4
Sul,Brasil,Sul,,,1547898,Anos Finais,202,Ensino Fundamental,2
Sul,Brasil,Sul,,,2041448,Anos Iniciais,201,Ensino Fundamental,2
Sul,Brasil,Sul,,,688082,Creche,101,Educação Infantil,1
Sul,Brasil,Sul,,,160515,Curso Técnico Integrado,303,Ensino Médio,3
Sul,Brasil,Sul,,,6495516,Educação Básica,0,Total Geral,0
Sul,Brasil,Sul,,,114044,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Sul,Brasil,Sul,,,92513,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Sul,Brasil,Sul,,,12538,Normal/Magistério,302,Ensino Médio,3
Sul,Brasil,Sul,,,19195,Não Técnica,402,Educação Profissional,4
Sul,Brasil,Sul,,,847500,Propedêutico,301,Ensino Médio,3
Sul,Brasil,Sul,,,759575,Pré-escola,102,Educação Infantil,1
Sul,Brasil,Sul,,,1447657,Total de Educação Infantil,100,Educação Infantil,1
Sul,Brasil,Sul,,,411103,Total de Educação Profissional,400,Educação Profissional,4
Sul,Brasil,Sul,,,206557,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Sul,Brasil,Sul,,,3589346,Total de Ensino Fundamental,200,Ensino Fundamental,2
Sul,Brasil,Sul,,,1020553,Total de Ensino Médio,300,Ensino Médio,3
Sul,Brasil,Sul,,,391908,Técnica,401,Educação Profissional,4
