CD_MUN;NM_MUN; V06001 ; V06002 ; V06003 ; V06004 ; V06005 
2807600;Umbaúba; 8.283 ; 23.901 ; 2 ; 1.211 ; 2.174.891 
2801405;Carira; 7.399 ; 19.883 ; 2 ; 1.209 ; 2.217.328 
2701506;Campo Grande; 2.649 ; 8.123 ; 2 ; 1.209 ; 5.106.407 
2928307;Santanópolis; 3.033 ; 8.716 ; 2 ; 1.209 ; 1.033.179 
2602704;Buenos Aires; 4.424 ; 12.801 ; 2 ; 1.209 ; 1.846.407 
2608008;Jataúba; 5.766 ; 15.802 ; 2 ; 1.209 ; 182.473.246 
2512804;Riacho dos Cavalos; 2.832 ; 8.491 ; 2 ; 1.209 ; 1.235.966 
2933109;Várzea do Poço; 3.220 ; 8.100 ; 2 ; 1.208 ; 1.841.867 
1300839;Caapiranga; 2.964 ; 13.356 ; 7 ; 1.208 ; 1.588.645 
2204352;Geminiano; 1.932 ; 5.434 ; 2 ; 1.208 ; 6.073.449 
2208874;Ribeira do Piauí; 1.395 ; 4.054 ; 2 ; 1.208 ; 1.463.864 
2110500;São Bento; 11.893 ; 46.340 ; 5 ; 1.208 ; 2.772.173 
1507474;São João de Pirabas; 6.553 ; 20.670 ; 3 ; 1.208 ; 2.743.161 
2511103;Pedra Lavrada; 2.479 ; 6.841 ; 2 ; 1.208 ; 1.211.830 
2926806;Rio do Antônio; 4.604 ; 13.140 ; 2 ; 1.207 ; 1.904.547 
2111953;Sucupira do Riachão; 1.563 ; 4.972 ; 3 ; 1.207 ; 1.235.885 
2303956;Chorozinho; 7.139 ; 20.118 ; 2 ; 1.207 ; 2.793.423 
2921302;Milagres; 3.986 ; 11.068 ; 3 ; 1.207 ; 1.316.156 
2515807;Serra Redonda; 2.430 ; 6.821 ; 2 ; 1.207 ; 1.255.724 
2112704;Vargem Grande; 12.871 ; 43.209 ; 3 ; 1.207 ; 7.515.736 
2503803;Caldas Brandão; 2.015 ; 5.748 ; 2 ; 1.206 ; 2.459.246 
2910776;Feira da Mata; 1.976 ; 5.625 ; 2 ; 1.206 ; 1.135.912 
2909505;Cravolândia; 1.619 ; 4.415 ; 2 ; 1.206 ; 1.115.076 
2202778;Colônia do Piauí; 2.364 ; 6.993 ; 2 ; 1.206 ; 1.015.992 
2604908;Cumaru; 5.675 ; 15.904 ; 2 ; 1.206 ; 1.796.027 
2701357;Campestre; 2.090 ; 6.661 ; 3 ; 1.206 ; 1.604.544 
2912400;Ibipeba; 5.817 ; 16.577 ; 2 ; 1.205 ; 3.733.947 
2304277;Ereré; 2.248 ; 6.473 ; 2 ; 1.205 ; 972.943 
2601052;Araçoiaba; 6.292 ; 19.234 ; 2 ; 1.205 ; 1.076.018 
2902609;Baixa Grande; 6.490 ; 18.164 ; 3 ; 1.205 ; 1.968.485 
2803005;Itabaianinha; 13.328 ; 40.616 ; 2 ; 1.205 ; 1.846.630 
2105153;Igarapé do Meio; 4.033 ; 13.961 ; 3 ; 1.204 ; 1.302.135 
2202711;Cocal de Telha; 1.649 ; 4.909 ; 2 ; 1.204 ; 1.079.994 
1300086;Anamã; 2.312 ; 9.922 ; 5 ; 1.204 ; 3.359.338 
2105450;Jatobá; 2.280 ; 7.458 ; 2 ; 1.204 ; 1.366.605 
1506112;Quatipuru; 3.649 ; 11.520 ; 3 ; 1.204 ; 2.661.331 
2704609;Maravilha; 3.205 ; 9.533 ; 2 ; 1.203 ; 1.529.486 
2904209;Botuporã; 3.637 ; 11.020 ; 2 ; 1.203 ; 2.201.143 
2904100;Boquira; 6.448 ; 19.315 ; 2 ; 1.203 ; 1.700.105 
1300680;Boa Vista do Ramos; 4.587 ; 23.732 ; 6 ; 1.203 ; 1.443.356 
2605905;Gameleira; 6.188 ; 18.194 ; 2 ; 1.203 ; 1.376.110 
2930758;Sítio do Mato; 4.006 ; 13.393 ; 3 ; 1.202 ; 1.096.088 
2912608;Ibiquera; 1.286 ; 3.724 ; 3 ; 1.202 ; 1.012.264 
2304954;Guaiúba; 7.751 ; 24.290 ; 3 ; 1.202 ; 1.052.175 
3146255;Padre Carvalho; 1.637 ; 5.058 ; 3 ; 1.202 ; 1.585.682 
2205250;Jardim do Mulato; 1.431 ; 4.180 ; 2 ; 1.202 ; 1.404.844 
2705309;Minador do Negrão; 1.619 ; 4.836 ; 2 ; 1.202 ; 2.762.403 
2202737;Coivaras; 1.287 ; 4.113 ; 3 ; 1.202 ; 1.197.977 
2806503;Santa Rosa de Lima; 1.365 ; 3.916 ; 2 ; 1.202 ; 1.095.032 
2701902;Chã Preta; 1.931 ; 5.877 ; 2 ; 1.202 ; 1.798.095 
2509206;Massaranduba; 4.858 ; 14.135 ; 2 ; 1.202 ; 1.420.139 
